latitude;longitude;Название;Описание;Адрес
56.805224;60.628092;MAROON;студия красоты;Машинная, 44/2, 1 этаж
56.850538;60.629578;Beauty Studio;салон;Советская, 10, 1 этаж
56.779182;60.528639;ОЛИВА;студия красоты;Чкалова, 260, 1 этаж
56.797536;60.637716;ИМПЕРИЯ;тату-салон;Белинского, 177а, 2 этаж
56.888203;60.596962;Кристи;студия красоты;Ильича, 8
56.794626;60.518213;ЛАК;студия маникюра и педикюра;Краснолесья, 135, 1 этаж
56.824841;60.606775;Счастье beauty project;студия маникюра;Степана Разина, 2, 50 офис, 4 этаж
56.904425;60.585633;BiGuDi;салон красоты;Бакинских Комиссаров, 101
56.857658;60.632067;MOLOKO;студия красоты;Уральская, 59, 1 этаж
56.795974;60.577916;Всё гладко;;Амундсена, 64, 1 этаж
56.817045;60.584504;Кристель beauty club;студия красоты;Посадская, 56/1, 1 этаж
56.886426;60.615535;Заря;салон-парикмахерская;Краснофлотцев, 2, цокольный этаж
56.791499;60.536639;Студия красоты Олеси Гордеевой;;Рутминского, 4
56.845039;60.640974;МАГНОЛИЯ;салон красоты;Первомайская, 76, 1 этаж
56.836746;60.594532;In Vogue;студия красоты;Вайнера, 8, 2 этаж
56.908684;60.600341;Студия красоты Светланы Бредневой;;Новаторов, 8в, 1 этаж
56.801139;60.609469;MAGIC ROOM beauty studio;;ЖК Зелёный мыс, 8 Марта, 194, 1 этаж
56.892125;60.612074;Пастораль;салон красоты;Уральских Рабочих, 2, 1 этаж
56.803285;60.615492;Joli;студия красоты;Авиационная, 48
56.887402;60.566323;Виктория Шарм;салон-парикмахерская;Черниговский переулок, 23, 1 этаж
56.795193;60.621527;Стрекоза;салон-парикмахерская;Академика Шварца, 12/1, 1 этаж
56.809059;60.616837;Kaleo studio;салон красоты;Щорса, 51Б, 1 этаж
56.791605;60.517355;Blueberry;студия красоты;Вильгельма де Геннина, 40
56.805935;60.602625;Сплетница;ногтевой салон;Сурикова, 55, 1 этаж
56.799476;60.638217;Айва;салон красоты;Онежская, 8а, 1 этаж
56.791319;60.642335;Шатуш;салон-парикмахерская;Самолётная, 1, 1 этаж
56.781856;60.603804;Идеал;парикмахерский салон;Военная, 14, 1 этаж
56.824841;60.606775;Novella;студия;Степана Разина, 2, 158 офис, 9 этаж
56.900126;60.59355;ШАРМ`ЭЛЬ;салон-парикмахерская;40 лет Октября, 59, 1 этаж
56.795076;60.621396;Кассиопея;салон красоты;Академика Шварца, 12/1, 1 этаж, магазин Алфавит
56.780945;60.533386;RICH REST;салон красоты;Чкалова, 252, 1 этаж
56.854032;60.562028;Beauty Room;студия маникюра;БЦ Актив, Опалихинская, 27а, 301 офис, 3 этаж
56.847224;60.603818;COSMOSPA;;Николая Никонова, 6, 1 этаж
56.843416;60.622186;Nail Republic;студия маникюра и педикюра;Первомайская, 35
56.852577;60.646333;U`Style;салон красоты;Мира, 2, 1 этаж
56.846043;60.615933;СТРИЖКА;салон-парикмахерская;Мамина-Сибиряка, 97, 1 этаж
56.833815;60.602651;AV STUDIO;салон красоты;Добролюбова, 2д, 1 этаж
56.831309;60.546438;Art Style;парикмахерская;Крауля, 74, 1 этаж
56.831079;60.550409;Мулатка;студия красоты;Крауля, 70, 1 этаж
56.836464;60.609762;Fresh;студия красоты;Пушкина, 8, 1 этаж
56.816747;60.606479;Для Вас;семейный салон прически;8 Марта, 86
56.823724;60.635968;Make my day;студия красоты;Мичурина, 207, 1 этаж
56.835103;60.619355;ВЕЕР;студия взгляда;Мамина-Сибиряка, 102, 1 этаж
56.88441;60.57635;Лагуна;салон-парикмахерская;Машиностроителей, 47, 1 этаж
56.828229;60.593053;Chocolate;студия Алены Шаламовой;Хохрякова, 72, 806а офис, 8 этаж
56.791969;60.520878;Люко;салон красоты;Вильгельма де Геннина, 31, 1 этаж
56.792246;60.625442;Алиса;салон-парикмахерская;Родонитовая, 18, 1 этаж
56.78033;60.609601;Эскадо;салон-парикмахерская;Титова, 22, 1 этаж
56.838858;60.610953;Sweet Nail;студия красоты;Ленина проспект, 38а, 309 офис, 3 этаж
56.786125;60.54785;iClinic;клиника косметологии;Чкалова, 231, 3 офис, 1 этаж, 6 подъезд
56.827343;60.594476;BLISS;салон красоты;Хохрякова, 74, 2 этаж
56.782242;60.632344;София;салон красоты;Самолётная, 43, 1 этаж
56.824841;60.606775;Svetlakova_studio;;Степана Разина, 2, 14 этаж
56.80311;60.613843;Мини#стерство Красоты;студия красоты;Степана Разина, 128, 1 этаж
56.868237;60.544514;Жасмин;салон красоты;Таватуйская, 4, 1 этаж
56.896244;60.63737;Синяя птица;салон-парикмахерская;Донская, 20, 1 этаж
56.814164;60.59519;Pitbull-tattoo;тату-салон;Фурманова, 103, 9 офис, цокольный этаж
56.830884;60.567039;Malina;салон красоты;Мельникова, 40, 1 этаж
56.822777;60.541751;Золотая маска;клуб красоты;Викулова, 61/2, 1 этаж
56.815275;60.564952;Прелесть;салон-парикмахерская;Шаумяна, 93, 1 этаж
56.834097;60.644845;Зефир;студия красоты;БЦ Aston, Вишнёвая, 35
56.794991;60.627252;Фавор;салон-парикмахерская;Академика Шварца, 16/2, 1 этаж
56.829954;60.559931;Disso;студия красоты;Крауля, 51
56.833726;60.657739;Hello Beauty;студия красоты;Мира, 41, 5 офис, 2 этаж
56.780557;60.523382;ЛИК;сеть салонов-парикмахерских;Академика Сахарова проспект, 41, 1 этаж
56.884627;60.506047;Оливия;салон красоты;Дружининская, 5а, 1 этаж
56.823518;60.636127;DOLLS;студия красоты;Мичурина, 209
56.83664;60.623309;Kerastase;институт красоты;ТЦ Crystals, Малышева, 71, 1 этаж
56.886056;60.574768;Berry;салон красоты;Суворовский переулок, 3
56.839313;60.622407;Лакки;салон красоты;Ленина проспект, 50л, 300/3, 300/4 офис, 2 этаж, 1 подъезд
56.987082;60.548484;Баунти;студия красоты;Машиностроителей, 7
56.771611;60.611219;Мастерица;ногтевая студия;Ремесленный переулок, 6, 1 этаж
56.836588;60.622608;HUMAN WOMAN beauty studio;студия красоты;Луначарского, 139, 2 этаж, 3 подъезд
56.805875;60.60255;Салон красоты Светланы Парыгиной;;Сурикова, 55, 1 этаж
56.797536;60.637716;Амели;бьюти-студия;Белинского, 177а, 2 этаж
56.815455;60.562392;Pudra;студия красоты;Белореченская, 23/1, 1 этаж
56.83212;60.628425;Альянс;центр красоты и косметологии;Карла Маркса, 60, 1 этаж
56.78628;60.54757;Семья;салон-парикмахерская;Чкалова, 231, 1 этаж
56.797402;60.512933;proБЛЕСК красоты;салон;Рябинина, 19, 1 этаж
56.84194;60.613656;Точка Красоты Дарьи Томиловой;учебный центр;Тургенева, 13, 1223 офис, 12 этаж
56.819861;60.618352;FaceLab;студия по наращиванию ресниц;Белинского, 108, 203 офис, 14 этаж
56.774018;60.591666;Красота;парикмахерская;Дорожная, 17, 1 этаж
56.829283;60.611791;Философия красоты;салон;Гоголя, 57, 2 офис, 2 этаж
56.824471;60.595042;Тайное Агентство Красоты;студия красоты;Хохрякова, 104, 419 офис, 4 этаж
56.986825;60.548555;Nail Spa;студия ногтевого сервиса;Машиностроителей, 7, 1 этаж
56.78383;60.651177;Марракеш;салон красоты;Щербакова, 39, 2 этаж
56.814571;60.560012;Тайны мастеров;учебный центр;Белореченская, 36/1, 1 этаж, 4, 6 подъезд
56.792956;60.631686;femme fatale;школа-студия имиджа и красоты;Тбилисский бульвар, 11, 1 этаж
56.847044;60.618513;Сити-Стиль;сеть салонов красоты;Луначарского, 83, 1 этаж
56.824841;60.606775;Charming-studio;;Степана Разина, 2, 111 офис, 7 этаж
56.810537;60.627374;Anna;парикмахерская;Щорса, 32, 1 этаж
56.833583;60.596483;FaceTime;студия красоты;ДЦ Малышева 36, Малышева, 36, 1001А офис, 10 этаж
56.823362;60.605114;На виду;творческая мастерская красоты;8 Марта, 51, 2 этаж
56.780562;60.549102;KARMA nails studio;студия маникюра и педикюра;Михеева, 12, 2 этаж
56.830905;60.555377;Marie;студия красоты;Крауля, 52
56.833583;60.596483;ЛАКШМИ;студия красоты;ДЦ Малышева 36, Малышева, 36, 1101а офис, 11 этаж
56.838568;60.551606;Альтернатива Классика;салон красоты;Фролова, 5
56.828681;60.6197;Тифэрет;салон красоты;Куйбышева, 48/7
56.891769;60.595195;Виктория;салон красоты;Кировградская, 32, цокольный этаж
56.822453;60.569624;Наша стрижка;экспресс-парикмахерская;Белореченская, 8, 1 этаж
56.838028;60.620753;Каприз Королевы;салон красоты;Луначарского, 136, 1 этаж
56.828229;60.593053;PuR-PuR beauty club;;Хохрякова, 72, 403 офис, 4 этаж
56.890208;60.622193;ЛеоНа;салон-парикмахерская;Баумана, 13, 1 этаж
56.829203;60.588707;Beauty room COPINE;студия красоты;Радищева, 33, 1 этаж
56.821987;60.621452;Garden;студия красоты;Тверитина 44, Тверитина, 44, 309 офис, 3 этаж
56.780084;60.532721;Beauty Nail;территория красоты;Чкалова, 252
56.832837;60.612104;Beauty Studio ONE;студия красоты;БЦ ГринПАРК, Розы Люксембург, 22, 815 офис, 8 этаж
56.837053;60.593361;Lady Nura;салон красоты;Ленина проспект, 24/8, 436 офис, 4 этаж
56.844035;60.580894;Восторг;салон-парикмахерская;Папанина, 15, 1 этаж
56.816263;60.607997;BEAUTY BAR;студия маникюра и педикюра;8 Марта, 77, 1 этаж
56.835991;60.614245;Glam Beauty Studio;;БЦ Высоцкий, Малышева, 51, 8/08 офис, 8 этаж
56.834619;60.606475;Blanco;дом модных идей;Малышева, 56, 204 офис, 2 этаж
56.835991;60.614245;Nails Brow;студия красоты;БЦ Высоцкий, Малышева, 51, 8/13 офис, 8 этаж
