latitude,longitude,Название,Описание,Адрес
56.839494,60.569231,Дом Бревновых,Дом Бревновых,ул. Кирова д. 3
56.839449,60.56942,Особняк,Особняк,ул. Кирова д. 1
56.839548,60.572124,Комплекс жилых домов,Комплекс жилых домов,Верх-Исетский бульвар д. 18-20
56.893161,60.572349,Водонапорная башня,Водонапорная башня,ул. Бакинских комиссаров д. 2а
56.830093,60.574478,Церковь Иоанна Предтечи (действующая),Церковь Иоанна Предтечи (действующая),ул. Репина д. 6
56.832531,60.574855,Стадион «Центральный». Комплекс,Стадион «Центральный». Комплекс,ул. Репина д. 5
56.828133,60.5756,Могила Героя Советского Союза А.Х. Ишмухаметова,Могила Героя Советского Союза А.Х. Ишмухаметова,Ивановское кладбище
56.832812,60.576436,Институт медицинский,Институт медицинский,ул. Репина д. 3
56.886833,60.58046,Бани,Бани,ул. XXII партсъезда д. 6
56.889715,60.581008,Ансамбль застройки,Ансамбль застройки,ул. Культуры
56.83905,60.58144,Комплекс зданий общества «Красного Креста»,Комплекс зданий общества «Красного Креста»,ул. Московская д. 19
56.842625,60.58152,Глазная лечебница имени А.А. Миславского,Глазная лечебница имени А.А. Миславского,ул. Челюскинцев д. 3
56.830187,60.581718,детский сад (Дом-улитка),детский сад (Дом-улитка),ул. Малышева д. 2е
56.836667,60.582221,Комплекс жилых зданий (конструктивизм),Комплекс жилых зданий (конструктивизм),пр. Ленина д. 5
56.830788,60.582356,Водонапорная башня,Водонапорная башня,ул. Московская д. 28-б
56.831822,60.583353,Здание земской школы,Здание земской школы,ул. Малышева д. 6 
56.840582,60.584099,Усадьба Кокшаровых,Усадьба Кокшаровых,ул. Боевых дружин д. 26 
56.838243,60.584233,Особняк статского советника Ф.Л. Миллера,Особняк статского советника Ф.Л. Миллера,ул. Шейнкмана д. 18
56.835934,60.584467,Екатеринбургская контора Государственного банка,Екатеринбургская контора Государственного банка,пр. Ленина д. 6
56.842964,60.58497,Усадьба Жолобова,Усадьба Жолобова,ул. Октябрьской революции д. 35
56.843949,60.585248,Дом,Дом где жил известный уральский краевед Афиногенов,ул. Февральской революции д. 51
56.836899,60.586093,Дом жилой,Дом жилой,пр. Ленина д. 9
56.83614,60.586102,Завод аффинажный: производственный корпус,Завод аффинажный: производственный корпус,пр. Ленина д. 8
56.838568,60.586174,Дом купцов Агафуровых,Дом купцов Агафуровых,ул. Сакко и Ванцетти д. 24
56.838568,60.586174,Дом купцов Агафуровых,Дом купцов Агафуровых,ул. Сакко и Ванцетти д. 28
56.834496,60.586524,Дом мещанина А.А. Попова,Дом мещанина А.А. Попова,ул. Хохрякова д. 42а
56.836992,60.58718,Усадьба,Усадьба,пр. Ленина д. 11
56.839823,60.587306,Дом К.М. Панова,Дом К.М. Панова,ул. Сакко и Ванцетти д. 23
56.839602,60.587368,Дом купца А.С. Лебедева,Дом купца А.С. Лебедева,ул. Сакко и Ванцетти д. 25
56.886828,60.587377,Фабрика-кухня УЗТМ,Фабрика-кухня УЗТМ,ул. Культуры д. 3 
